Sl. No,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
2,Agra,Jarar,Potato,Desi,FAQ,600,700,650,02 Feb 2020
3,Agra,Samsabad,Potato,Local,FAQ,700,850,800,02 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,940,1020,980,03 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,900,1050,980,03 Feb 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,1060,1240,1145,03 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,03 Feb 2020
5,Agra,Jarar,Potato,Desi,FAQ,600,700,650,03 Feb 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,850,950,900,03 Feb 2020
7,Agra,Samsabad,Potato,Local,FAQ,700,900,800,03 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,900,960,930,04 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,900,1050,970,04 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,04 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1000,1100,1050,04 Feb 2020
5,Agra,Jarar,Potato,Desi,FAQ,720,820,770,04 Feb 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,04 Feb 2020
7,Agra,Samsabad,Potato,Local,FAQ,700,900,800,04 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,940,1020,980,05 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,900,1100,980,05 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,05 Feb 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1025,05 Feb 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1000,1050,1025,05 Feb 2020
6,Agra,Jarar,Potato,Desi,FAQ,720,820,770,05 Feb 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,05 Feb 2020
8,Agra,Samsabad,Potato,Local,FAQ,700,900,800,05 Feb 2020
1,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1040,06 Feb 2020
2,Agra,Jagnair,Potato,Desi,FAQ,1000,1080,1040,06 Feb 2020
3,Agra,Jarar,Potato,Desi,FAQ,680,770,720,06 Feb 2020
4,Agra,Samsabad,Potato,Local,FAQ,700,900,800,06 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,940,1010,970,07 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,820,1000,900,07 Feb 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1010,07 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1100,1150,1125,07 Feb 2020
5,Agra,Jarar,Potato,Desi,FAQ,670,770,720,07 Feb 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,850,950,900,07 Feb 2020
7,Agra,Samsabad,Potato,Local,FAQ,700,900,800,07 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,08 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,850,1000,920,08 Feb 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,0,0,1025,08 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1000,1080,1040,08 Feb 2020
5,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,08 Feb 2020
6,Agra,Samsabad,Potato,Local,FAQ,700,900,800,08 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,940,1000,970,09 Feb 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,09 Feb 2020
3,Agra,Jagnair,Potato,Desi,FAQ,1000,1080,1040,09 Feb 2020
4,Agra,Jarar,Potato,Desi,FAQ,680,780,730,09 Feb 2020
5,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,09 Feb 2020
6,Agra,Samsabad,Potato,Local,FAQ,700,900,800,09 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,920,1000,960,10 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,850,1000,910,10 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,700,800,750,10 Feb 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,980,10 Feb 2020
5,Agra,Jagnair,Potato,Desi,FAQ,900,1000,950,10 Feb 2020
6,Agra,Jarar,Potato,Desi,FAQ,700,800,750,10 Feb 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,10 Feb 2020
8,Agra,Samsabad,Potato,Local,FAQ,700,900,800,10 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,900,1000,950,11 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,810,980,900,11 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,11 Feb 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,930,1080,1000,11 Feb 2020
5,Agra,Jagnair,Potato,Desi,FAQ,950,1050,1000,11 Feb 2020
6,Agra,Jarar,Potato,Desi,FAQ,710,810,760,11 Feb 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,11 Feb 2020
8,Agra,Samsabad,Potato,Local,FAQ,750,900,800,11 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,900,980,940,12 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,850,1000,920,12 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,12 Feb 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,950,1100,1030,12 Feb 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1050,1100,1075,12 Feb 2020
6,Agra,Jarar,Potato,Desi,FAQ,710,800,750,12 Feb 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,12 Feb 2020
8,Agra,Samsabad,Potato,Local,FAQ,750,900,800,12 Feb 2020
1,Agra,Agra,Potato,Desi,FAQ,800,1000,910,13 Feb 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,500,600,550,13 Feb 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,980,13 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,13 Feb 2020
5,Agra,Jarar,Potato,Desi,FAQ,670,770,720,13 Feb 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,13 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,880,960,920,14 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,800,1000,900,14 Feb 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1020,950,14 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1100,1140,1120,14 Feb 2020
5,Agra,Jarar,Potato,Desi,FAQ,680,760,720,14 Feb 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,14 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,850,950,900,15 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,810,1000,905,15 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,15 Feb 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1040,970,15 Feb 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1120,1200,1180,15 Feb 2020
6,Agra,Samsabad,Potato,Local,FAQ,750,900,800,15 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,880,980,930,16 Feb 2020
2,Agra,Fatehabad,Potato,Desi,FAQ,800,850,820,16 Feb 2020
3,Agra,Jarar,Potato,Desi,FAQ,640,740,690,16 Feb 2020
4,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,16 Feb 2020
5,Agra,Samsabad,Potato,Local,FAQ,750,900,800,16 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,870,950,910,17 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,800,980,910,17 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,700,800,750,17 Feb 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,980,17 Feb 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,17 Feb 2020
6,Agra,Jarar,Potato,Desi,FAQ,640,720,680,17 Feb 2020
7,Agra,Samsabad,Potato,Local,FAQ,750,900,800,17 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,900,960,930,18 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,800,1000,900,18 Feb 2020
3,Agra,Fatehabad,Potato,Desi,FAQ,700,750,720,18 Feb 2020
4,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,965,18 Feb 2020
5,Agra,Jagnair,Potato,Desi,FAQ,1100,1200,1150,18 Feb 2020
6,Agra,Jarar,Potato,Desi,FAQ,650,730,700,18 Feb 2020
7,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,18 Feb 2020
8,Agra,Samsabad,Potato,Local,FAQ,850,1000,900,18 Feb 2020
1,Agra,Achnera,Potato,Desi,FAQ,900,960,930,19 Feb 2020
2,Agra,Agra,Potato,Desi,FAQ,800,1000,900,19 Feb 2020
3,Agra,Fatehpur Sikri,Potato,Local,FAQ,900,1050,975,19 Feb 2020
4,Agra,Jagnair,Potato,Desi,FAQ,1100,1180,1140,19 Feb 2020
5,Agra,Jarar,Potato,Desi,FAQ,650,730,690,19 Feb 2020
6,Agra,Khairagarh,Potato,Desi,FAQ,900,1000,950,19 Feb 2020
7,Agra,Samsabad,Potato,Local,FAQ,800,1000,900,19 Feb 2020
